"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.65791","111.32075","109.88704","111.41304","109.43167","110.77877","110.78686","112.82441","113.10812","110.85031","112.19677","114.09722","108.74806","","",
"Andorra","AND","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","99.40855","","","","","","","","114.03567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","29.06912","29.96693","30.31528","30.71804","31.30437","31.31123","32.25455","33.05036","34.48049","","42.14985","45.67757","16.62168","","21.36607","23.49027","25.64087","","32.76832","30.53898","29.28668","27.21088","","27.90982","37.8271","39.98992","","","28.74673","25.62176","19.46034","19.31771","63.56007","85.73293","95.90843","89.87866","93.80724","92.06462","94.80524","92.40685","97.07509","98.15665","","",
"Angola","AGO","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","62.06376","67.48588","69.84096","76.31124","","","","","","162.33058","142.96865","132.66149","119.04331","103.49514","81.87024","88.38936","88.92066","88.08672","88.91666","84.63139","77.63949","74.74813","","","","","","84.52118","","","","","","","","","114.75377","122.15017","121.48454","124.47162","","","",
"Albania","ALB","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","116.90421","","114.87911","113.16744","109.27359","107.38476","105.29399","103.4444","103.20087","102.10812","100.88707","98.59229","97.16266","97.89618","99.00373","101.75833","100.84572","100.02935","102.80445","104.75807","106.34312","108.30655","108.81461","109.29782","109.74177","110.2391","108.23763","105.22528","","","","","","","","","","",
"Arab World","ARB","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","65.6101","64.65813","66.7861","68.41862","68.65627","70.01277","71.33711","72.25685","72.64863","74.42263","75.62973","75.69062","76.35272","77.03002","77.7556","77.65907","78.63397","79.79895","80.62593","80.64839","81.73572","82.50288","81.0315","80.99997","83.70234","82.62697","84.99113","85.69978","86.43336","87.46041","88.27817","90.18228","91.38718","92.34141","92.88647","93.28842","94.63087","94.83965","95.69885","96.51836","97.13371","96.7975","","",
"United Arab Emirates","ARE","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","80.90057","87.19301","89.41766","87.74","86.74156","96.20573","100.47141","98.59006","94.15936","91.50037","88.18577","92.66107","93.69109","94.77605","94.59107","95.31224","96.47538","99.35735","103.89824","107.85876","108.6346","103.70692","101.36575","102.35323","104.06755","102.16332","98.94651","95.73193","93.47798","89.63682","87.76537","93.0017","99.8035","104.50355","106.48409","104.2559","","","","","","","",
"Argentina","ARG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","105.57591","106.30639","105.90039","105.53187","106.34045","106.17619","105.66697","106.39519","105.84318","106.17309","106.1633","107.01064","107.25818","","105.16912","105.09703","105.73881","106.05644","106.75395","","106.34473","108.93605","","","112.17054","","111.86443","108.83466","113.66252","112.96782","113.99708","114.40657","114.77922","112.52001","113.59685","113.048","114.48623","115.60163","116.89106","117.51843","118.35725","","","",
"Armenia","ARM","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.71121","","91.0589","94.50352","95.96461","98.44638","98.59625","102.22245","95.16005","93.80695","94.4858","95.00778","99.59833","112.2359","111.44028","104.13056","102.53762","","","",
"American Samoa","ASM","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.80709","","","","","","","","","","","","","","","","","","","","","","",
